athleteId,hand,rank
148,L,
1455,L,101.0
1510,L,122.0
1652,R,
1754,R,46.0
1845,R,
1966,R,
2027,R,
2114,R,
2220,R,
2245,R,110.0
2302,R,549.0
2586,L,95.0
2611,R,24.0
2653,R,306.0
2693,R,3.0
2853,L,1.0
2928,R,
3013,R,68.0
3160,R,
3373,R,
3495,L,94.0
3593,R,30.0
3645,R,166.0
3873,L,
3960,R,604.0
4035,R,17.0
4103,L,118.0
4181,R,
4212,R,48.0
4242,R,
4288,L,366.0
4324,R,70.0
4377,R,68.0
4405,R,216.0
4437,L,67.0
4477,R,
4533,R,286.0
4586,R,11.0
4633,R,26.0
4736,R,24.0
4897,R,
4959,L,
5167,R,
5269,L,401.0
5331,R,326.0
5379,R,40.0
5430,L,
5471,R,16.0
5496,R,164.0
5581,R,
5629,,
5707,R,367.0
5753,L,60.0
5796,R,67.0
5819,L,77.0
5854,L,105.0
5917,R,465.0
6023,R,104.0
6174,R,119.0
6203,R,178.0
6251,R,
6382,L,
6424,R,6.0
6652,R,
6844,R,629.0
7222,L,145.0
7416,R,
7631,R,
7767,L,56.0
7952,R,
8041,R,168.0
8190,R,409.0
8278,L,45.0
8292,R,218.0
8506,R,191.0
8608,R,
8745,R,34.0
8950,R,23.0
9106,L,
9122,L,19.0
9199,L,27.0
9367,R,
9429,R,
9555,R,273.0
9648,R,216.0
9708,L,48.0
9746,L,44.0
9786,R,17.0
9853,R,
9895,R,
9989,R,203.0
10021,R,
10068,R,
10145,R,56.0
10213,R,39.0
10278,R,382.0
10362,R,153.0
10399,R,7.0
10409,R,
10494,R,159.0
10609,R,
10689,L,
10773,R,
10799,R,149.0
10861,R,27.0
11021,R,49.0
11066,R,1.0
11122,R,445.0
11491,R,159.0
11551,L,125.0
11784,R,744.0
11964,R,
12094,R,22.0
12156,L,
12227,L,
12286,R,537.0
12372,R,316.0
12428,R,76.0
12529,R,42.0
12590,R,
12625,L,2.0
12640,R,
12693,R,54.0
12725,,
12783,R,129.0
12963,R,60.0
13138,R,
13213,R,173.0
13281,L,79.0
13391,R,20.0
13416,R,283.0
13436,R,50.0
13470,R,150.0
13503,L,32.0
13682,R,193.0
13715,R,3.0
13741,R,2.0
13839,R,
13924,R,135.0
13955,R,
14045,L,
14373,R,
14443,R,
14490,L,
14560,L,73.0
14714,R,183.0
14827,R,440.0
14926,L,324.0
14957,L,23.0
14997,R,8.0
15098,L,18.0
15163,R,5.0
15289,R,90.0
15306,R,
15346,R,
